원조닭한마리,0.8181818181818182,0.18181818181818182,22,18,4,"맛있어요 국물도, 맛있어서 가시는건가요  대충먹고, 정말 맛있어서, 맛있어서 가시는건가요, 맛은 있다  사람도, 맛은 있다, 맛있어요 국물이 짱임, 무난무난 맛있어요, 맛있어요 국물이, 맛있어요   진짜 국물이, 너무 맛있어요, 맛있어요   진짜, 여전히 맛있고, 먹어보니 맛있네요, 맛있네요 담백해요, 맛있죠   맛은 있어요, 맛있죠   맛은, 있어요  맛만, 맛있죠   맛은, 맛은 있어요, 맛있어요 국물도, 맛있어서 가시는건가요  대충먹고, 정말 맛있어서, 맛있어서 가시는건가요, 맛은 있다  사람도, 맛은 있다, 맛있어요 국물이 짱임, 무난무난 맛있어요, 맛있어요 국물이, 맛있어요   진짜 국물이, 너무 맛있어요, 맛있어요   진짜, 여전히 맛있고, 먹어보니 맛있네요, 맛있네요 담백해요, 맛있죠   맛은 있어요, 맛있죠   맛은, 있어요  맛만, 맛있죠   맛은, 맛은 있어요","맛도별로  김치는 중국산, 가격비싸  맛도별로, 맛도별로  김치는, 맛도별로  김치는 중국산, 가격비싸  맛도별로, 맛도별로  김치는",맛,맛
논골집 포이점,0.0,1.0,1,0,1,,"맛없어서 바로 뺏구요, 국수 맛없어서, 맛없어서 바로",,맛
리엔,0.8181818181818182,0.18181818181818182,11,9,2,"최고다  동네 깊숙히, 정말 최고다, 최고다  동네, 사장님 직원들 친절하고, 직원들 친절하고, 맛있네요 개포로 골목, 맛이 좋아 다녀오며, 탕수육이 맛있네요, 맛있네요 개포로, 맛이 좋아, 맛 가성비 최고예요, 가성비 최고예요, 직원분 친절도, 가히 최고의, 최고의 중국음식점이라고","정신없는 직원들, 맛 없다 탕수육","사장, 직원, 맛","직원, 맛"
밀란국수 개포본점,0.875,0.125,8,7,1,"음식이 맛있습니다, 맛있습니다  하지만, 너무 맛있어요, 맛있어요  건강해졌어요, 맛 그자체 개맛있음, 만두 맛있음, 육수가 맛있음, 칼국수집중 최고인듯, 샤브샤브 맛있고, 맛있구요 주차도되요, 음식은 항상 깔끔하고, 맛있었어요   밀란음식은 항상, 너무너무 맛있었어요, 맛있었어요   밀란음식은",일을 하지 않는다면,"음식, 맛",일을
황금돼지,1.0,0.0,1,1,0,"맛있구여   다 짤라주시고, 맛있습니다  양이 좀, 맛있어서  얼마전 점심에, 보다 맛있구여, 맛있구여   다, 맛있습니다  양이, 맛있어서  얼마전",,맛,
원조소금구이,0.8571428571428571,0.14285714285714285,7,6,1,"맛있는 식당중에
맛집수준이, 맛있는 식당중에, 고기가 맛있고, 신선해서 자주 갑니다, 신선해서 자주, 사장님 두분이 친절하게, 넘넘 맛있었어요, 맛있구 된장찌개 너무, 너무 맛있어요, 맛있구 된장찌개",맛난 소금구이집을 못가봤던지,"사장, 맛",맛
김명자낙지마당 개포점,1.0,0.0,1,1,0,낙지만두가 맛있고,,맛,
춘천명물닭갈비 1호점,1.0,0.0,5,5,0,"너무 맛있어요, 맛있어요   막국수도, 항상 맛있습니다, 쓰네요   맛있어요, 맛있어요 최고",,맛,
김수사,0.47058823529411764,0.5294117647058824,17,8,9,"당연히 맛있고, 서비스는 나름 친절했고, 맛있었습니다  비린내도, 맛은 있으나 여직원들, 맛은 있으나, 맛있네요  룸에서 식사했는데, 맛있네요  룸에서, 훌륭하나 분위기는","사장이 신경안쓰는 가게인듯, 사장이 신경안쓰는, 비추  맛없고, 최악의 서비스가, 아쉽다 서비스는, 없는 서비스를, 안겪는 서비스를, 최악의 서비스다, 최악의 서비스가, 아쉽다 서비스는, 없는 서비스를, 안겪는 서비스를, 최악의 서비스다, 다시는 안갈 최악의, 다시는 안갈, 음식 날라주면서 정신없이, 안되네요
사장님","서비스, 분위기, 맛","가격, 서비스, 맛, 음식, 사장"
신사뻘낙지,0.6,0.4,5,3,2,"서비스 짱짱   다음에는, 너무 맛있고, 진짜 맛있음","맛이 별로지만, 사장이 좀 불친절한데","서비스, 맛","사장, 맛"
